"Country/Region",Total Cases,New Cases,Total Deaths,New Deaths,Total_Recovered,New Recovered,Active Cases,"Serious,Critical",Tot�Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,106627427.0,,1159824.0,,104549551.0,,918052.0,"1,368","3,18,476","3,464","1,17,68,34,935","35,14,983","33,48,05,269"
India,44939515.0,,531508.0,,44356693.0,,51314.0,,"31,948",378,"92,64,96,579","6,58,663","1,40,66,31,776"
France,39980570.0,,166556.0,,39677000.0,,137014.0,869,"6,09,604","2,540","27,14,90,188","41,39,547","6,55,84,518"
Germany,38403667.0,,173044.0,,38192900.0,600,37723.0,,"4,57,821","2,063","12,23,32,384","14,58,359","8,38,83,596"
Brazil,37449418.0,,701494.0,,36249161.0,,498763.0,,"1,73,897","3,257","6,37,76,166","2,96,146","21,53,53,593"
Japan,33700970.0,,74501.0,,21725273.0,,11901196.0,46,"2,68,352",593,"9,99,84,094","7,96,148","12,55,84,838"
S. Korea,31157272.0,"14,411",34474.0,3.0,30896033.0,"12,433",226765.0,141,"6,07,000",672,"1,58,04,065","3,07,892","5,13,29,899"
Italy,25788387.0,,189738.0,,25468617.0,,130032.0,100,"4,27,932","3,149","27,14,49,155","45,04,425","6,02,62,770"
UK,24555629.0,,221943.0,,24310623.0,"2,324",23063.0,,"3,58,487","3,240","52,25,26,476","76,28,357","6,84,97,907"
Russia,22839878.0,,398239.0,,22236983.0,,204656.0,,"1,56,646","2,731","27,34,00,000","18,75,095","14,58,05,947"
Turkey,17232066.0,,102174.0,,16542783.36,,,,"2,01,399","1,194","16,27,43,369","19,02,052","8,55,61,976"
Spain,13825052.0,,120715.0,,13665628.0,,38709.0,231,"2,95,918","2,584","47,10,36,328","1,00,82,298","4,67,19,142"
Vietnam,11557969.0,,43188.0,,10620576.0,,894205.0,62,"1,16,802",436,"8,58,26,548","8,67,342","9,89,53,541"
Australia,11441894.0,,20272.0,,11394719.0,,26903.0,61,"4,38,912",778,"7,88,35,048","30,24,116","2,60,68,792"
Taiwan,10239998.0,,19005.0,,10220993.0,,0.0,,"4,28,656",796,"3,07,42,304","12,86,903","2,38,88,595"
Argentina,10044957.0,,130472.0,,9914485.0,,0.0,363,"2,18,320","2,836","3,57,16,069","7,76,264","4,60,10,234"
Netherlands,8610372.0,,22992.0,,8586242.0,255,1138.0,53,"5,00,270","1,336","2,59,84,435","15,09,718","1,72,11,447"
Iran,7606689.0,,146005.0,,7342490.0,,118194.0,407,"88,426","1,697","5,53,53,767","6,43,478","8,60,22,837"
Mexico,7583417.0,,333876.0,,6828311.0,,421230.0,,"57,641","2,538","1,99,03,879","1,51,288","13,15,62,772"
Indonesia,6771072.0,,161258.0,,6597965.0,,11849.0,,"24,257",578,"11,41,58,919","4,08,975","27,91,34,505"
Poland,6513550.0,,119551.0,,5335940.0,,1058059.0,696,"1,72,591","3,168","3,86,59,837","10,24,379","3,77,39,785"
Colombia,6364636.0,,142713.0,,6187047.0,,34876.0,342,"1,23,555","2,770","3,69,51,507","7,17,327","5,15,12,762"
Austria,6064193.0,,22369.0,,6029908.0,,11916.0,55,"6,68,842","2,467","21,12,73,524","2,33,02,116","90,66,710"
Greece,5999934.0,,36711.0,,5951126.0,"3,015",12097.0,115,"5,81,578","3,558","10,22,28,365","99,09,078","1,03,16,637"
Portugal,5580792.0,,26550.0,,5548480.0,,5762.0,61,"5,50,343","2,618","4,60,82,209","45,44,341","1,01,40,570"
Ukraine,5518614.0,,112023.0,,5372913.0,,33678.0,,"1,27,769","2,594","3,26,03,805","7,54,855","4,31,92,122"
Chile,5283617.0,,64497.0,,5217926.0,,1194.0,56,"2,74,471","3,350","4,93,75,779","25,64,950","1,92,50,195"
Malaysia,5066877.0,,37011.0,,5015705.0,,14161.0,14,"1,52,704","1,115","6,83,44,917","20,59,756","3,31,81,072"
Israel,4821234.0,,12484.0,,4798473.0,,10277.0,21,"5,16,967","1,339","4,13,73,364","44,36,346","93,26,000"
Belgium,4793425.0,,34237.0,,4741299.0,,17889.0,43,"4,10,808","2,934","3,70,18,657","31,72,590","1,16,68,278"
DPRK,4772813.0,,74.0,,4772739.0,,0.0,,"1,83,636",3,,,"2,59,90,679"
Thailand,4730490.0,,33947.0,,4692636.0,,3907.0,,"67,503",484,"1,72,70,775","2,46,450","7,00,78,203"
Canada,4641301.0,,52247.0,,4578373.0,"1,220",10681.0,99,"1,20,904","1,361","6,63,43,123","17,28,207","3,83,88,419"
Czechia,4640168.0,,42761.0,,4594361.0,,3046.0,11,"4,32,175","3,983","5,71,75,790","53,25,225","1,07,36,784"
Peru,4501130.0,,220122.0,,4277138.0,364,3870.0,27,"1,33,627","6,535","3,85,21,551","11,43,609","3,36,84,208"
Switzerland,4401379.0,,14452.0,,4383180.0,,3747.0,39,"5,01,660","1,647","2,38,33,472","27,16,487","87,73,637"
Philippines,4091854.0,,66444.0,,4020117.0,,5293.0,162,"36,369",591,"3,50,04,687","3,11,128","11,25,08,994"
South Africa,4076463.0,,102595.0,,3912506.0,,61362.0,192,"67,095","1,689","2,67,95,090","4,41,027","6,07,56,135"
Romania,3387788.0,,68047.0,,3312844.0,,6897.0,120,"1,78,011","3,576","2,72,42,332","14,31,446","1,90,31,335"
Denmark,3180458.0,,8542.0,,3170942.0,,974.0,19,"5,45,070","1,464","12,92,65,171","2,21,53,604","58,34,950"
Hong Kong,2890048.0,,13527.0,,2870895.0,,5626.0,28,"3,80,054","1,779","7,61,27,725","1,00,11,143","76,04,299"
Sweden,2706137.0,,24087.0,,2678124.0,183,3926.0,8,"2,64,815","2,357","1,95,00,873","19,08,301","1,02,18,971"
Serbia,2534036.0,,18018.0,,2506652.0,,9366.0,13,"2,92,850","2,082","1,27,82,645","14,77,247","86,53,016"
Iraq,2465545.0,,25375.0,,2439497.0,,673.0,21,"58,474",602,"1,95,44,451","4,63,523","4,21,64,965"
Singapore,2340779.0,,1727.0,,2149583.0,,189469.0,2,"3,93,835",291,"2,47,56,666","41,65,302","59,43,546"
New Zealand,2313064.0,,4119.0,,2297967.0,,10978.0,,"4,72,227",841,"77,68,604","15,86,011","48,98,203"
Hungary,2201355.0,,48846.0,,2148647.0,,3862.0,13,"2,29,158","5,085","1,13,94,556","11,86,160","96,06,259"
Bangladesh,2038174.0,,29446.0,,1998448.0,,10280.0,,"12,140",175,"1,52,54,399","90,862","16,78,85,689"
Slovakia,1866312.0,,21167.0,,1844814.0,13,331.0,22,"3,41,803","3,877","74,25,402","13,59,916","54,60,193"
Georgia,1838936.0,,17049.0,,1776548.0,,45339.0,,"4,63,355","4,296","1,69,20,079","42,63,340","39,68,738"
Jordan,1746997.0,,14122.0,,1731007.0,,1868.0,59,"1,69,597","1,371","1,72,01,885","16,69,945","1,03,00,869"
Ireland,1709705.0,,8824.0,,1698797.0,155,2084.0,19,"3,40,565","1,758","1,30,83,449","26,06,161","50,20,199"
Pakistan,1580684.0,37,30657.0,,1538689.0,,11338.0,7,"6,888",134,"3,05,71,377","1,33,215","22,94,88,994"
Norway,1483140.0,,5213.0,,1476767.0,,1160.0,20,"2,69,106",946,"1,10,02,430","19,96,315","55,11,370"
Finland,1473603.0,,9308.0,,1458831.0,356,5464.0,21,"2,65,277","1,676","1,20,69,254","21,72,699","55,54,960"
Kazakhstan,1411559.0,62,13848.0,,1383020.0,,14691.0,24,"73,499",721,"1,15,75,012","6,02,707","1,92,05,043"
Slovenia,1343202.0,,7100.0,,1328006.0,,8096.0,8,"6,46,381","3,417","28,47,701","13,70,382","20,78,034"
Lithuania,1318372.0,,9665.0,,1306389.0,,2318.0,3,"4,95,311","3,631","1,04,36,425","39,20,950","26,61,708"
Bulgaria,1304280.0,,38327.0,,1263053.0,,2900.0,43,"1,90,556","5,600","1,11,79,933","16,33,395","68,44,597"
Morocco,1273130.0,,16297.0,,1256151.0,,682.0,3,"33,705",431,"1,30,01,033","3,44,191","3,77,72,756"
Croatia,1272377.0,,18155.0,,1253558.0,,664.0,4,"3,13,448","4,472","55,75,343","13,73,479","40,59,286"
Guatemala,1248171.0,,20189.0,,1226839.0,,1143.0,5,"67,164","1,086","72,13,379","3,88,149","1,85,84,039"
Lebanon,1236631.0,,10900.0,,1087587.0,,138144.0,74,"1,84,990","1,631","47,95,578","7,17,380","66,84,849"
Costa Rica,1227546.0,,9339.0,,860711.0,,357496.0,52,"2,36,870","1,802","46,59,757","8,99,158","51,82,354"
